Remote_Dep_Ct,Remote_Dep_Amt,OnlineWallet_Tx,OnlineWallet_Dollars,DigLogins_UniqDays,DigLogins_TotalLogins,DebitCard_Tx,DebitCard_Spend,Alerts_enrolled
13,4930.389999999999,6,99.41999999999999,33,40,6,1889.34,12
7,4269.85,9,352.25,47,75,123,16415.66,18
6,8688.0,0,0.0,35,41,1791,98787.70000000001,0
5,1152.0,20,2216.04,56,91,1769,122794.37,30
0,0.0,0,0.0,0,0,0,0.0,0
7,1744.0,2,117.65,0,0,21,2121.84,0
0,0.0,0,0.0,8,8,0,0.0,6
54,47722.23,0,0.0,41,46,0,0.0,24
0,0.0,0,0.0,0,0,0,0.0,6
0,0.0,0,0.0,7,8,999,26460.480000000003,12
0,0.0,4,206.34,77,109,1222,51688.74,12
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,36,10811.45,99,123,0,0.0,12
0,0.0,0,0.0,5,6,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,11,1435.56,0,0,1143,43458.19,0
0,0.0,0,0.0,0,0,0,0.0,0
12,820.0,20,2160.41,44,65,505,25737.04,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,1,900.0,0,0,52,4410.12,0
7,10412.0,26,7995.0,106,165,7,65.25,18
0,0.0,0,0.0,0,0,21,1036.67,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,44,56,1923,62361.770000000004,6
0,0.0,2,2000.0,73,96,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
9,3805.3,1,5.0,37,47,1222,38747.65,6
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,5,324.1,0,0,1299,24537.22,0
0,0.0,0,0.0,8,10,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,6
4,222.7,131,2525.3199999999997,107,187,190,14061.14,44
6,130518.95,83,7319.629999999999,68,100,0,0.0,18
0,0.0,0,0.0,0,0,0,0.0,6
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,10,340.18,0,0,1348,47503.3,0
0,0.0,115,8778.31,124,329,825,39410.93,0
0,0.0,23,1167.1399999999999,0,0,2375,176646.27000000002,0
