Remote_Dep_Ct,Remote_Dep_Amt,OnlineWallet_Tx,OnlineWallet_Dollars,DigLogins_UniqDays,DigLogins_TotalLogins,DebitCard_Tx,DebitCard_Spend,Alerts_enrolled,engament score
13,4930.389999999999,6,99.41999999999999,33,40,6,1889.34,12,51.466081315890506
7,4269.85,9,352.25,47,75,123,16415.66,18,55.3843046623661
6,8688.0,0,0.0,35,41,1791,98787.70000000001,0,21.666490586520457
5,1152.0,20,2216.04,56,91,1769,122794.37,30,63.074677007661116
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
7,1744.0,2,117.65,0,0,21,2121.84,0,17.78085640659381
0,0.0,0,0.0,8,8,0,0.0,6,27.42087621116373
54,47722.23,0,0.0,41,46,0,0.0,24,59.36900069734902
0,0.0,0,0.0,0,0,0,0.0,6,22.394415164647725
0,0.0,0,0.0,7,8,999,26460.480000000003,12,32.86767658655082
0,0.0,4,206.34,77,109,1222,51688.74,12,44.436921872833466
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,36,10811.45,99,123,0,0.0,12,53.596246435746814
0,0.0,0,0.0,5,6,0,0.0,0,9.198934431630597
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,11,1435.56,0,0,1143,43458.19,0,14.152217043199746
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
12,820.0,20,2160.41,44,65,505,25737.04,0,35.074337663880826
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,1,900.0,0,0,52,4410.12,0,9.519304847758875
7,10412.0,26,7995.0,106,165,7,65.25,18,65.7085760813915
0,0.0,0,0.0,0,0,21,1036.67,0,4.769381339162081
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,44,56,1923,62361.770000000004,6,32.47753436972897
0,0.0,2,2000.0,73,96,0,0.0,0,22.341011236006175
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
9,3805.3,1,5.0,37,47,1222,38747.65,6,44.65195360607798
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,5,324.1,0,0,1299,24537.22,0,12.754127153108104
0,0.0,0,0.0,8,10,0,0.0,0,9.985914809033803
0,0.0,0,0.0,0,0,0,0.0,6,22.394415164647725
4,222.7,131,2525.3199999999997,107,187,190,14061.14,44,76.16004868239395
6,130518.95,83,7319.629999999999,68,100,0,0.0,18,68.09912907000144
0,0.0,0,0.0,0,0,0,0.0,6,22.394415164647725
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,10,340.18,0,0,1348,47503.3,0,13.065369259114638
0,0.0,115,8778.31,124,329,825,39410.93,0,38.24377181389944
0,0.0,23,1167.1399999999999,0,0,2375,176646.27000000002,0,14.210952389389167
0,0.0,45,1595.71,96,171,2329,65173.66,1,41.08710608168839
4,118.91000000000001,22,3024.8999999999996,53,67,1496,49645.46,6,51.24651475738618
0,0.0,41,846.6099999999999,10,12,220,224.25999999999988,6,42.14209324116135
0,0.0,37,105477.87,0,0,0,0.0,0,25.57101717470385
15,54965.12,0,0.0,43,57,48,2485.4700000000003,30,56.38666411884738
7,3878.0,22,8676.25,48,64,1833,68534.66,0,36.595039445591546
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,65,78,1486,56252.259999999995,0,15.687672736619824
4,780.0,18,1840.3899999999999,39,59,914,26993.699999999997,36,64.18752525899114
0,0.0,9,25572.46,20,26,102,77757.58,0,21.233901335456185
0,0.0,0,0.0,33,35,0,0.0,12,35.11473592297532
0,0.0,0,0.0,24,26,147,3932.3599999999997,6,30.24835869505035
0,0.0,59,2501.72,110,226,2031,42461.79,0,34.17371522152088
0,0.0,0,0.0,22,25,490,46060.05,0,10.97402547461397
1,846.82,10,1087.0,112,181,1664,33908.86,26,61.416984334370035
0,0.0,12,9250.0,109,192,2727,257396.09000000003,6,45.341085536165245
2,325.0,0,0.0,51,64,0,0.0,6,37.7578816644507
1,43.28,4,231.25,64,100,954,11171.289999999999,0,27.894915367181543
0,0.0,0,0.0,31,67,0,0.0,6,31.419606627817984
2,4296.67,21,1669.06,10,12,2468,66212.93,12,50.53298156243843
0,0.0,0,0.0,11,11,20,1054.48,12,32.53295180741136
0,0.0,0,0.0,59,120,1514,27292.15,12,39.74609444901943
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,2,6,125,9966.32,0,8.167129898333098
0,0.0,2,71.94,42,52,667,43152.52,0,17.901011655061854
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
